,0
22,"[101.47903134803406, 188.10615007222552, 183.2768831629128, -156.9245787915985, 56.34659058618405, -205.98039933787504, -106.8225234029758, -137.96638772184224, -176.06691212978612, -225.53160860327466, 171.04768125318367, 202.15903833998726, 6.549873927026084, 171.03575836096815, -87.10740081706258, -162.66407489794477, -16.641698086388743, -10.620184201146735, -93.8348930873332, -194.0827712790991, -74.36523734679037, 124.46933984184079, -176.16601754025623, 196.95034691047692, 151.6063108633295, 31.80004965822478, -68.21711358023153, -105.10112658241184, -43.65505711924244, 52.31541745508286, 136.08530276472933]"
23,"[101.67539548735535, 187.69795391278558, 182.63436396674265, -156.86360114641286, 56.42508104939364, -206.05153305668313, -106.08182085178049, -138.20671874048224, -175.95157221685832, -225.52837609806798, 170.4209775019224, 201.83730976227744, 6.454317080657283, 170.41237075144383, -86.57995741830038, -162.79644745363487, -17.4093906548267, -10.486795998119781, -93.81623838711005, -193.40192330412864, -74.87920044075042, 124.27916953772974, -175.7883747868296, 197.14169941905772, 151.1593623098946, 32.686292598532425, -67.77651006761258, -105.15776769587445, -43.161460206793336, 52.44659223252659, 135.84606829811005]"
24,"[101.67580119124756, 187.3261166721305, 182.40366670348917, -156.96671812089437, 56.41463657548789, -206.49288978390237, -105.65653123082961, -138.3404830102873, -175.43836323882016, -225.3480674138078, 169.99763858474097, 201.61108734250186, 6.668458488976256, 170.2468809302662, -86.11376404073688, -162.6159373624793, -18.24364468892908, -10.438365387935377, -93.52601688164293, -193.15443889901871, -75.39147548674295, 124.33715329213175, -175.52614518647903, 197.0644415374532, 151.0603454864353, 33.20118748442991, -67.74191087987978, -105.5263069678314, -42.53722307847672, 52.34574048777226, 135.73771588144322]"
25,"[101.53013025271042, 187.22598274279443, 181.99104602234547, -156.9367733383974, 56.56430843286995, -206.7112833386992, -105.17123976135795, -138.24368585107456, -175.0137173105806, -225.230501235573, 169.7726510665837, 201.3698363628536, 6.755822144537106, 169.7684439161763, -85.79076912851649, -162.75896476284436, -18.842121217800667, -11.137115391903365, -93.3023786559004, -193.23914888896073, -75.72398256264424, 124.24975043468649, -175.38420889945903, 196.7579857541384, 151.20764787483847, 33.63847707136269, -67.45000759579531, -105.82332327986515, -42.17945704296196, 51.70496016670692, 135.4786078860733]"
26,"[101.32147280788642, 187.27343972894445, 182.01722315834314, -156.73924757661004, 56.81594528804169, -206.89395126447164, -104.88035125168099, -138.29559734410387, -174.89022284189605, -225.1633116095588, 169.45999546508378, 201.32741576286503, 7.1157549074472755, 169.70227864406132, -85.57264471807821, -162.4946786713058, -19.095129982362273, -11.919738889575669, -93.20187585984876, -193.45935561149054, -76.03606439461628, 124.24238088493973, -174.9084356839831, 196.11606263675785, 151.5986873885644, 33.36871706970292, -67.65390545489734, -106.13319822576001, -41.706354417357275, 51.198451203497434, 135.24908617063505]"
27,"[100.9845883196839, 187.3347090958736, 181.86619101871773, -156.58426536073793, 57.117516403037875, -207.1017837334208, -104.66870389448144, -138.00588121293993, -174.69851304969626, -225.1706919032908, 169.4762238923035, 200.986272023166, 7.296729667588821, 169.5423527617794, -85.54566092951295, -162.323241913888, -19.118880451858175, -12.450213103843595, -93.09867851981193, -194.26267647508888, -76.15253371815967, 124.61090067835184, -174.70580416077246, 195.33123754104955, 151.9116073377686, 32.99885710140357, -68.00741455129693, -106.51528729566297, -41.91027216830033, 50.52019580593569, 134.84592057770192]"
28,"[101.19222655379306, 187.62402366509798, 182.0914530659608, -156.3070442232736, 57.36301695600495, -206.96721480199892, -104.49237275498938, -137.67307457419184, -174.60790489080873, -225.30935816909076, 169.74485130353838, 201.24756614611363, 7.446802509314594, 169.68816476413323, -85.75881077860373, -162.33349827323744, -19.07706469071602, -12.844877003325813, -92.99313651314617, -194.68965487854544, -75.80348359139556, 124.97303398365112, -174.66332384298858, 194.50219479462822, 151.85105397109956, 32.22054321753883, -68.63385005577109, -106.9324819951473, -41.76373307879491, 50.0667343667828, 134.30907261481946]"
29,"[100.82746962296912, 188.08298110898141, 182.17468628113332, -156.03546134950125, 57.65464998881907, -206.91312923731252, -104.67683289126745, -137.4113244118928, -174.6726607633499, -225.44692580647265, 169.99138547784287, 201.16316888004832, 7.286998526160623, 170.1062107864769, -85.95687921515133, -162.40009007221397, -18.653395385009475, -13.027318296555066, -93.34115235335611, -195.02837427323232, -75.7112616113283, 125.48465623859042, -174.59245075542378, 193.84219045370494, 151.4898291620981, 31.422838313320778, -69.01159450169081, -106.74823385506541, -42.05951673752326, 49.64545713080142, 133.68710119659588]"
30,"[100.7513489628933, 188.5974905842714, 182.41673785747494, -155.90450896107032, 57.67608621930497, -206.91714634819806, -105.01006758508888, -137.3980233479646, -174.7946878311319, -225.66404271195205, 170.4915937646417, 201.07578388984552, 7.440231398877657, 170.28828715494575, -86.3965121924758, -162.6572798573249, -18.14235220343457, -12.660048443236448, -93.48211338096672, -195.11050057171727, -75.469372817648, 125.92880910559585, -174.6951446486019, 193.8174567296004, 151.1581260185662, 30.891172254874718, -69.21675592861884, -106.87234814300476, -42.34540992173775, 49.698248832607355, 133.02396183228058]"
31,"[100.69185923235403, 188.98915176707982, 182.94483797652117, -156.0575016498583, 57.76908794510216, -206.82276394170034, -105.24756292803832, -137.16962855265075, -174.89869640745295, -225.99762073619806, 170.57005695017355, 201.236419542926, 7.1329333993051165, 170.46206121980862, -86.62122350564957, -162.79822586246405, -17.941429141652783, -12.312485478630137, -93.73857817835886, -194.8765845060547, -75.10061294978006, 126.48134919095467, -174.83104918955792, 193.89688344973302, 150.8500107804431, 30.540459347855027, -69.4712041788203, -106.55208474904852, -42.68846974618237, 49.70351548060849, 132.19518834591702]"
32,"[100.83703113510734, 189.48313875277418, 182.9693115188905, -156.0584338593306, 57.83316389052046, -206.71630768191085, -105.62318226525235, -137.13617285573517, -175.05591902358293, -226.00466790968179, 170.87902414432995, 201.3549964342781, 7.146421176014442, 170.5728548025944, -87.11306036028107, -162.96455496757116, -17.6058120048763, -11.907586246335654, -94.10225557356837, -194.67175836281476, -74.84016864068653, 126.82932543897348, -174.965360624038, 194.1358511846791, 150.75790301504145, 30.587357540945035, -69.27085287974398, -106.30815255313084, -43.07543580397057, 49.84294633834422, 131.59150347900618]"
33,"[101.01636783112096, 189.80523107051806, 183.1907719063703, -156.1647368000065, 57.867610873099736, -206.9466473608049, -105.86140662210678, -137.14724542388262, -175.09998540173487, -226.07613856399783, 170.7429301750558, 201.44815500349375, 6.881303719451218, 170.69339853348404, -87.55765921480833, -163.07457109315294, -17.567311042666482, -11.660280391346703, -94.26772910229187, -194.13595575844332, -74.55719110964573, 127.13750064371916, -175.0748493571607, 194.60843036955086, 150.9322245436404, 30.70089671301301, -69.32810955589592, -106.19715389385138, -43.4320677142961, 50.366372489641655, 131.20760752979334]"
