,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
10,-2.378956549289839,-18.529687180923588,-41.07842987731335,47.04803206999108,38.811268863474865,40.17552373254775,-31.837598958575512,2.0802218047725916,48.315116412217904,21.01952274242258,27.762201123996746,35.56836639007689,-16.338044691198718,32.07498943309187,46.77747374140438,28.881514055904873,-34.26591594435985,-41.70760317187083,1.8629685211839488,16.91877972422195,-21.67593850744848,-40.64541558417321,-33.21188137357191,9.53837483584536,46.651030251339265,-59.312939623843135,32.72392605113441,-18.501613856910822,-6.910148842329647,46.717393080515734,-36.482763898952726,8.966615039504529,-31.596372443105082,32.200285884433896,16.614233719225865,35.92198749385081,-38.25315183701815,-43.32479983905029,-25.99009511125415,7.665247928402394,5.552342847330593,-43.07596521781835,-34.911536963013546,29.791080794186897,-55.60117310179892,-42.97275510277531,-65.1307851451684,-49.59989302406845,-23.208980751359988,39.34375291602075,-23.074344259014623,-44.95844095527581,-23.22264464114977,0.0021168916639489055,48.49133540646021,9.254155157236696,1.7964364056939957,-32.54898102041148,30.24443108326159,-30.84562460102272,37.3460848791114,32.046599827397756,23.933492625150365
11,0.7779582449077651,-21.018587374483033,-39.49998044995975,47.47137478719327,40.53019945860488,38.46007135799631,-27.604165683274218,-0.8373350551631518,42.074053028120005,18.942254576430443,28.82997021071874,31.273410474515714,-18.999803080064396,33.887247496105886,42.40347089624109,31.45163810782674,-35.47912800116764,-34.23559363877115,6.311110059477626,14.325560599527662,-18.53645484710495,-42.099754766509704,-35.713090539584016,11.528241837726512,37.600953150255265,-54.32125210438329,28.60436484308437,-22.115843127884887,-3.0390157091545262,41.00881854948899,-37.752356888295424,10.568939172222297,-32.85444938776871,30.568852341121946,12.81631470345718,37.05439049587875,-39.09351375990654,-43.29596934627341,-28.50075010234812,3.4519596735751605,8.367703906915764,-43.60927238341856,-36.38901421726521,30.179130579817055,-48.53917802016865,-44.29009144759961,-60.644473842921954,-50.387283415983646,-19.514463560199573,38.653817287333865,-19.189431884950338,-43.036898267633546,-20.94206566393885,-2.415690191061893,42.45138754794118,11.278083781628368,7.211944084003399,-28.26807960621917,17.7790084034728,-26.89816548393162,39.26706446950173,21.42892441709799,26.446516446106784
12,3.2691914642690847,-23.085313620240385,-37.15853080593005,48.1348283496537,42.624062294640325,36.77557979933031,-22.782782576000628,-3.964976122543405,34.77608609413382,16.734456565703482,30.46846774427918,27.699728418461717,-21.17390759198942,34.85859528117598,37.79354330413605,33.27166569033662,-36.676020394034126,-26.09700263164882,10.441688925819717,10.216097526228182,-13.948631670140102,-43.10544503169636,-36.24339791039017,13.714184237201067,29.621214426509624,-50.232196405284625,24.22176329000459,-24.576217991072426,-0.5103637372156555,36.68462763459513,-37.36576110915756,10.931327320337877,-33.864730973769994,28.471670106444996,10.425297184270136,37.75379828561509,-40.80318918541266,-42.88551987678617,-30.04130578769903,2.291377949726936,9.346547063655706,-43.765166540644394,-38.7012538583772,31.1959998777713,-44.15663476384074,-45.31864334074382,-55.37634347147009,-49.73198128701337,-17.49047269906346,37.72617224465377,-16.107294481573177,-40.502549302650806,-17.82023439615145,-4.846842292330864,35.439690943432836,14.793647099828206,11.416482770943993,-24.387559829428316,9.083727521194106,-23.71754149725082,40.69017861569894,12.50605375744854,28.018481120643884
13,5.664434477546138,-25.814082780784062,-33.944799355184436,47.2659001527181,42.806330680435906,33.70343399072641,-19.38892413818752,-6.70857552712566,29.3031148871965,15.484585605746982,31.747621594740494,22.45301607530422,-23.12528758488608,35.62978499355587,33.79409855039948,34.56773569806708,-37.23604039167208,-18.244895379454334,13.985426171078728,7.348270608650608,-10.953260014068789,-43.89570741287062,-37.93378967412876,15.84095962962644,20.88742957625891,-44.678346031358686,19.875150923154294,-26.16487039531185,3.369516592939604,33.234042695234464,-38.07854623238454,10.18051584460379,-33.63600697620501,25.889207214854792,7.001359699186139,36.66720404580569,-42.148526294369674,-43.32990579731522,-32.4975589383877,-1.6804110185385497,11.602542869952643,-43.567858955525956,-40.08164395869049,31.252252311493237,-37.49231189966753,-46.508157072343536,-49.441103940199454,-50.827180722912786,-14.606600521846573,36.867974947962125,-14.482457671274915,-37.41801337908487,-14.95375042056908,-7.1001261380093,30.374108173513562,15.744631603856874,13.980602410670116,-20.275262069807013,2.477264083000449,-20.79873876332354,42.03420559486686,1.0497008378681585,29.1201653825659
14,8.836196673616556,-26.02725266839606,-31.501545406674865,46.35812701193263,43.49397385205205,30.549951496313874,-16.585116674105223,-8.752358935315826,25.901549397334662,14.408021529755977,32.66659119568094,18.232479399857567,-24.39811155273712,36.7683656073426,29.629648500355984,35.11526017172939,-37.372274538781085,-11.974913112084607,17.157330348701475,5.28237748433888,-8.463984767525005,-44.21421666067768,-38.204750864194565,18.04413037603753,14.172189884744569,-39.20537792760486,15.691431817677895,-29.06335498699282,5.8990815126131935,28.500671983354152,-37.056025665993175,8.492708584284582,-33.63281017403567,23.27786303856508,5.033250137708066,36.44820161343996,-42.67263309639368,-41.690064596446106,-33.33602518217478,-3.2314855801102453,12.42340414375927,-43.419279319098685,-42.252366308354155,31.996721379373213,-34.18358203915773,-46.97987591436359,-44.54966753945614,-50.62687875642328,-11.723235009355122,35.903988865887165,-11.171512300825242,-34.08231495646108,-12.438248270049783,-9.132933871541951,24.70343727637905,17.405019329852465,15.23431293011204,-16.261577037006468,-5.42137693348576,-16.72224263923978,43.0094974220802,-5.601048984144597,30.536184561796034
15,10.234044525710232,-27.853543852625492,-28.586582001951406,45.39442750960204,43.63456456875738,27.04463615008452,-13.345751089133216,-10.094734065154867,19.243494896482503,13.917661030514669,32.98684821812239,14.665822193545566,-25.30535211512867,37.31329988123774,24.93507237527831,36.204041093719766,-37.321072060285104,-4.725529890488701,19.32315099620535,3.7793339927188327,-5.548830793480846,-42.98758590265662,-38.189568150581735,18.842638206140535,4.926865704238537,-35.91761631855262,12.729041951700609,-30.905856708741027,7.604211021968609,26.446604703606297,-37.07424092979237,5.659223719268599,-34.21376600029387,19.996786920219584,2.589227714837506,34.609624197557395,-43.89188433035271,-40.86823578331816,-34.82961403714535,-6.31613875723005,13.554313939250406,-42.466741192464674,-42.17530397187441,30.692097800647062,-27.92601782739743,-47.35020536017052,-39.79814079401203,-50.12109805704026,-9.961666946493779,33.596766338403725,-8.662817620922027,-30.301243120343884,-10.993715401365776,-10.540998164010778,19.45378748679758,19.88582639044833,14.036413817273512,-12.210019436574303,-13.217753908736768,-13.977239431005913,44.38487293799385,-13.271092805941521,31.59897632004592
16,12.187275910750628,-29.41259954133413,-25.44070051278077,43.77730957787473,44.221654634014925,23.296469725281263,-9.050878758260765,-12.083962731562067,15.169916409308598,13.749652752727865,33.10876933688094,10.54659635935117,-25.481762375497468,37.05243927928554,22.145623985352216,36.269558656886915,-38.08477233382564,1.5952694728556764,20.39007603129213,1.3058785708383596,-2.9465120933383133,-43.27118731478146,-38.60629483141179,20.08445954510782,-0.2670884137261851,-30.646355203698334,8.626664727336902,-32.76153073109826,10.785547573447943,22.669822481126445,-36.111630332362765,1.8746569191422513,-33.23499672178593,15.990484662203443,0.6669530589382759,34.15880146646842,-43.440709961729794,-39.717618183686106,-35.81487079065212,-9.637313975080133,15.170819377964278,-41.406359751223675,-44.417705141400575,29.947771951889052,-23.596364869814835,-46.96935435583924,-37.57509403962409,-49.923959852453464,-7.730027737609731,31.819037348563583,-7.662153976486806,-26.10916817919087,-9.239526915741791,-11.443904382677815,14.626994622888162,20.779827004592335,11.665247091411317,-8.170534303781121,-17.629637142936218,-10.796267781846353,44.30764289823999,-18.670485997802615,32.164371313886605
17,13.579262010066543,-28.54544554413397,-22.231212080788723,41.58366355137155,43.46275261494735,19.201540799185736,-9.15519704869385,-14.989330930052589,10.989422785625777,14.347107863837,33.76411739371164,6.4675157777745795,-27.542730681710978,36.31108218769141,19.01748406679522,35.675185102174126,-37.64720252355076,7.884392298785656,21.142958448864547,-0.043176667476458874,-0.6040987431092759,-42.34014951786364,-39.600637198681426,21.69572718392952,-4.5900859402590015,-24.709945780679476,4.962029395017808,-33.90512783263547,11.816511753817437,20.02722094934363,-35.45785840496431,-2.7828248585394455,-32.561953296125125,11.630546180984144,-0.8686062126229217,32.75670414902689,-42.505143657623066,-38.18673212370876,-36.02822383523031,-10.748950748045885,14.889220904488468,-40.66795707837387,-43.75641971035226,28.19261717997722,-20.6881344138709,-46.60604782618347,-33.11536232923427,-48.423533398551,-6.060522521205911,29.47990092431703,-6.487962005821274,-21.719371510672097,-6.442619819266028,-11.745021817071864,8.929142761745197,22.47199555620398,8.26926501284591,-4.252717680272928,-24.49803838406021,-9.219892036953667,45.139499575081544,-25.572445448075513,33.022121513201384
18,13.741312865659424,-29.89085240732014,-19.14847617507508,38.18037542168424,42.99384764375303,14.630623664160737,-4.828805837742166,-15.384117971473458,7.1767725268577465,15.231211644420501,33.65836249914527,4.1734163781074045,-26.471451675218447,36.51243486413628,14.630490457007966,35.97922686438382,-37.63670007871137,12.865956266892027,20.54677226943195,-1.0014958601965986,1.1238939388271518,-40.75079488745057,-38.867257340554005,21.726203122833283,-11.623712917447023,-22.29209771408091,1.6428728841259215,-34.55376933037911,13.071027753527588,16.216866888055847,-33.25013330896172,-7.924821511968178,-31.694522094298662,6.688929391112609,-2.8883634203818787,30.39366067054234,-43.26808748407413,-35.88083319661446,-37.05544014618981,-12.088522226169644,14.70827313504617,-38.766062102288245,-44.71538074951607,26.90635087061277,-15.083925461972086,-46.18698902133673,-29.495796447557353,-47.062808196103106,-4.880998036971704,26.744852218027816,-3.9076549702223815,-17.19818611924563,-6.010893738587839,-11.526820567397237,4.490525662166334,21.679635939399475,3.6756005752470777,-0.33506728367854643,-28.413559351874397,-6.822920242558951,44.723469159765216,-29.46392547384366,32.48494223006496
19,16.254938121432275,-29.83822063265849,-15.868735433987933,35.56671001781493,42.00893236412239,9.769363809019925,-2.6948889188946907,-16.791772432798354,3.1419616827346033,16.22094262091396,32.6792057156532,2.2690089849453443,-26.881749612090417,35.488572973412886,12.022673463216478,35.151675817955635,-37.00318880635032,15.312679661633439,19.00978255066205,-3.125277098590857,4.070066848543036,-39.34918787162859,-37.76628836375109,22.99000904841826,-16.51776605087784,-16.757503887030396,-1.0978787139628423,-36.70049921807559,14.341091785760682,13.723349570475875,-32.08499122913392,-13.228707666358247,-30.72314666890763,1.696485683060839,-3.5618206419430862,27.842461961657314,-42.008127977955226,-34.00820382828762,-36.77631143807969,-12.79911967480831,16.296288112752777,-37.27525126179416,-44.14909890133717,25.87886205275383,-13.118387557134724,-44.72702902642992,-25.06788930796577,-45.533212645564035,-2.817214246617297,23.936200846157142,-3.650462583804213,-12.27134533039654,-4.184051925599391,-10.927483432804387,1.8499921901778293,22.62038706031599,-1.4963887738242665,3.3744061664327907,-29.670709145054985,-4.320765064624041,43.27419074333845,-28.459541464453935,32.57608105997376
20,16.46441114560801,-30.955470764668732,-13.010094779935937,31.676544322583737,39.977674645639496,5.640076185466427,0.6034059922981925,-18.375095853730244,1.229094000737291,17.228835875737303,33.15591607838135,-1.4904881120643836,-25.099246309512566,34.90429193749908,8.207838718217033,34.901855099694785,-35.782737001748416,17.22407388149736,16.989092276360253,-3.6299041790643116,5.605876116103744,-38.3926364834104,-38.45851761864256,22.84920319579315,-17.80752253774145,-13.870757925363023,-4.545277329941911,-37.031855951974265,16.177316772285664,11.535113043959086,-31.55649345542433,-18.326879230109277,-29.343709090196242,-2.9695573066107634,-4.8661692386396425,25.119906709669237,-41.29625068501328,-31.10986767231831,-36.36166791444779,-14.2707076832518,15.610606918189816,-35.78222935233839,-44.60873830425355,23.311622927585773,-8.021133971133878,-44.89601538743203,-22.12029441401515,-44.178215219932426,-1.283522281491912,20.86181056104931,-1.4180908534238341,-7.908913806458671,-4.019118958627516,-10.013100991186024,-2.5119756127473067,23.64769443342287,-6.692198368134145,6.986432398600295,-31.75084988210611,-3.262560334250054,43.632936479131885,-31.77757104154736,32.715661425706955
21,16.99642935281763,-31.74011460236889,-9.933947423287778,28.133135025351542,38.97810813024047,1.184429923106979,2.868156800519273,-19.535904954238333,-2.1280374998195555,17.719396319953667,31.77236265222251,-2.907978381420264,-25.59151220623818,33.546419184339555,4.571617118306165,32.82066190530708,-35.938239513360415,21.00959585331296,14.423570855001305,-5.563992028027428,8.284673837296097,-36.18555759082703,-37.24951191764612,22.840548693661745,-19.942671424883684,-10.234259016063106,-7.238604590305101,-37.89916807329297,16.236955474898238,7.393759216870706,-28.978993938166276,-22.687165632156237,-29.423956180306874,-7.706334559356495,-6.459040790094946,22.476906939730142,-39.691428226602156,-28.444010730486475,-37.02840123864419,-16.61156089444154,16.031081865550632,-33.83024461085336,-43.21644794019461,20.695559464990126,-6.021761300390693,-42.72992052375342,-18.265972584736204,-42.55752925555718,-0.8665722113577772,17.179160294077953,-1.8871952977351185,-3.8910751183421235,-2.1013542464024653,-9.016712496553883,-5.742143240811544,23.92419578177683,-11.605036076146312,9.960033730940335,-30.16111722407652,-0.9374245069138283,42.424658837493155,-29.34492363252744,31.489178118768393
22,18.162067942861626,-31.134659121951373,-7.562834312563391,24.15017748170193,38.08860031065301,-2.823315235815574,3.1236054883553663,-18.880664221023878,-2.7871955077587813,17.610031299419738,31.205671509157895,-6.4282673632392004,-24.267404007685357,32.33169994098047,2.897012150876293,31.791930493847687,-33.95475055100077,21.508135926082645,11.621286064736479,-5.708877889202398,10.913685213748067,-34.168713304473826,-35.994613292788685,23.129429373181964,-22.276522756692202,-7.15247631202277,-9.897845089692566,-38.88991139101569,16.829565179971695,4.565546765335057,-27.47120541515251,-26.30077231749717,-27.830517213919876,-12.002665313188235,-6.999519950936403,19.459092607037036,-37.59942366677174,-25.298072619656317,-36.920290534333446,-17.397329651736285,14.807486908518698,-32.32599352125133,-42.30509804081407,19.96130148257221,-2.5746521931411053,-42.44873631736759,-15.431233369644076,-39.99545412916015,0.5843490656506418,14.318820874412204,0.2571133615772112,-0.2668515822449087,-2.1023524307044568,-7.799924828653377,-8.36069012976867,23.94880675742941,-15.724631328781609,12.436279753749908,-31.115663313103937,0.015383491190220866,41.383165673831144,-28.74384030498743,31.069202950008147
23,18.221718965343726,-30.74828423821178,-5.328659921840314,19.954299491890815,36.091560186261674,-6.327961681177003,6.428377319679626,-20.211770378660844,-5.153562700838933,17.426088005602676,30.318231701104125,-8.697990449116418,-23.3968267647532,29.94595228656793,-0.08438750123585237,29.199834911050942,-32.95899348684891,20.31236376573102,8.779952966794685,-8.190127732562772,10.546185794445975,-32.56881367591053,-35.19193200049379,23.373785816539353,-23.571302204412092,-3.55280024945867,-11.893673164581145,-38.94959504837186,17.23170453645021,2.012308944599681,-25.31915678547231,-28.49652434436705,-27.30588021151962,-15.864775483893952,-8.41745213277025,15.897495284310047,-36.17005215728649,-22.96501939737083,-35.55375917231282,-18.790921265234246,16.279046883260293,-30.12040041436522,-41.53269107876268,16.927942855152338,-0.930632647311711,-40.23378921241947,-11.559763383445443,-38.04308989785077,2.039269641668497,10.470100999075342,-0.29770984851305116,2.7329663874932777,-0.007505631867985585,-6.514595368972749,-10.31965514315371,23.4649809086242,-18.629153760031073,14.428697153281274,-30.400364334933528,1.6857115248787693,40.93064753169212,-24.997201416362174,30.484357163659837
24,18.711246035207466,-30.963239254993013,-3.5097659243011314,16.028452260350186,33.325109614502225,-9.269787477844062,7.012047571120931,-20.961355979930715,-5.208772003128274,16.76049661051691,28.501051552052843,-10.641966456502246,-22.3109322274275,28.710626846249625,0.5906495444488655,27.900752298435577,-31.43697813050734,21.850928820779302,5.810705795210356,-7.962798331372227,11.862004691090277,-29.929002845541092,-33.28625590287815,22.699343777887293,-22.724982468172186,-0.43795717610240104,-14.569248982467002,-39.309058410246394,16.870966067729796,0.7536516451875741,-23.67465975336991,-29.882349293156413,-26.29833273555562,-19.210293867895498,-9.184349343468497,12.39443695794234,-35.297838195610055,-19.77355548987076,-35.630371073720426,-18.754079902722793,14.271966961486328,-28.73772206156744,-40.1209889059414,13.378820676670735,4.983736489961387,-37.937693481361634,-10.002210980809934,-35.169034906476504,2.4942048227361937,7.235923595313579,0.1854824460699689,5.095984110680796,0.3552015425500912,-5.044392065010063,-10.656218888208855,24.151391451718098,-20.157697429881203,16.09425148724632,-28.88453601394852,2.152642906619235,39.82089564106333,-22.66297820162373,29.048445882810995
